"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Shirazi M.A.; Zahedi R.; Yousefi H.; Aslani A.","Shirazi, Mohammadali Allahrabbi (60142577400); Zahedi, Rahim (57224089423); Yousefi, Hossein (57192403998); Aslani, Alireza (55093935000)","60142577400; 57224089423; 57192403998; 55093935000","Environmental and damage assessment of electric vehicles compared to internal combustion engine vehicles under various ambient temperature scenarios using the LCA approach","2025","Energy Nexus","20","","100606","","","3","10.1016/j.nexus.2025.100606","https://www.scopus.com/pages/publications/105022822764?origin=resultslist","This study assesses the environmental impacts of the energy consumption of electric vehicles (EVs) and internal combustion engine vehicles (ICEVs) using a life cycle assessment (LCA) approach considering four temperature scenarios. The aim is to compare the environmental performance of the energy consumption of both vehicle types under different climatic conditions and to identify the most sustainable option. The functional unit for this study was set at 100 km of distance. The results show that temperature significantly affects the environmental impacts of EVs and ICEVs. EVs operating at warmer temperatures (30 °C) showed lower environmental impacts compared to those operating at colder temperatures (-7 °C). The third EV scenario with renewable wind energy at 30 °C produced 90 % less CO2 emissions than the third ICEV scenario at the same temperature (0.3318 kg CO2eq per 100 km, compared to 3.3372 kg CO2eq). In addition, EVs showed lower impacts in key categories such as human health, particulate matter formation and resource depletion. ICEV scenarios, especially at lower temperatures, showed higher greenhouse gas emissions and environmental loads. The findings suggest that electric vehicles, especially when powered by renewable energy sources and operated under optimal temperature conditions, offer significant environmental benefits over ICEVs. This study highlights the importance of considering temperature and energy sources when assessing the environmental performance of vehicles and provides valuable insights for future vehicle design and policymaking aimed at reducing the environmental impacts associated with transportation. Policy recommendations include optimizing charging infrastructure in cold regions and promoting EVs in warmer climates. © 2025 The Author(s).","Ambient temperature; Electric vehicles; Energy consumption; Environmental impacts; Internal combustion engine vehicles; Life cycle assessment","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105022822764"
"Zhao E.; May E.; Walker P.D.; Surawski N.C.","Zhao, Enoch (57226315142); May, Ethan (57264608700); Walker, Paul D. (36496210600); Surawski, Nic C. (35338113400)","57226315142; 57264608700; 36496210600; 35338113400","Emissions life cycle assessment of charging infrastructures for electric buses","2021","Sustainable Energy Technologies and Assessments","48","","101605","","","38","10.1016/j.seta.2021.101605","https://www.scopus.com/pages/publications/85115254951?origin=resultslist","This paper evaluates and calculates the magnitude of greenhouse gases produced from the implementation of electric bus charging stations into existing bus depots concurrent with the transitioning of the commuter bus fleets into electrified powertrains. To achieve this, a comprehensive and in-depth emissions life cycle assessment is conducted and utilises the Australian based fleets as a case study, focusing particularly on Sydney city and Inner West regions. To define the scope and system boundary for this type of study, the authors have chosen bus routes that take into account city, suburban, and highway driving. The study conducts a life cycle assessment of electric bus charging stations that incorporates the greenhouse gas emissions produced from the production, transportation, installation, operations, and decommissioning phases. Additionally, three alternate scenarios are explored: time variance, high shares of renewables, and net-zero emissions by 2050. Results show that contributions from infrastructure development and the transition to electrified buses are substantially outweighed by operation emissions. The operations phase is heavily dependent on the electricity grid-mixes carbon intensity and contributes the most greenhouse gas emissions (98.8%), followed by production (0.69%), recycling and disposal (0.48%), installation (0.01%), and transportation (0.01%). The current Australian electricity grid-mix produces approximately 1.2 ∼ 1.4 times more greenhouse emissions than when combusting diesel fuel. Thus, net-zero emissions will not be achieved without substantial grid-mix decarbonisation. This study also finds that regional-specific parameters heavily influences the final life cycle emissions calculations. For the case-specific scenario, it is found that transitioning the existing transport bus fleet into electric powertrains has the potential to significantly reduce the impact on climate change compared to diesel buses. However, it can only be made possible if the electricity used to charge the electric buses is generated from low carbon-intensive sources, such as renewable energy. © 2021 Elsevier Ltd","Battery Electric Vehicles; Charging Infrastructure; Electric Buses; Environmental Load; Greenhouse Gas Emissions; Life Cycle Assessment","Australia; New South Wales; Sydney [New South Wales]; Battery electric vehicles; Buses; Carbon; Charging (batteries); Climate change; Electric automobiles; Electric power transmission networks; Fleet operations; Gas emissions; Greenhouse gases; Secondary batteries; Vehicle-to-grid; Battery-electric vehicles; Bus fleets; Charging infrastructures; Charging station; Electric bus; Electricity grids; Environmental loads; Greenhouse gas emissions; Greenhouses gas; Zero emission; bus transport; carbon emission; electric vehicle; greenhouse gas; life cycle analysis; traffic emission; transportation infrastructure; Life cycle","Article","Final","","Scopus","2-s2.0-85115254951"
"Sobhani S.S.; Zahedi R.; Yousefi H.; Hajinezhad A.","Sobhani, Seyed Sadra (60097049700); Zahedi, Rahim (57224089423); Yousefi, Hossein (57192403998); Hajinezhad, Ahmad (16202326900)","60097049700; 57224089423; 57192403998; 16202326900","Configuring renewable energy supply for electric vehicle charging stations in Switzerland: Life cycle assessment and Multi-Mbjective optimization","2026","Energy Conversion and Management: X","29","","101457","","","2","10.1016/j.ecmx.2025.101457","https://www.scopus.com/pages/publications/105024221941?origin=resultslist","To minimize the environmental footprint of electric vehicle (EV) charging infrastructure, the electricity supply mix must be optimized beyond simply focusing on greenhouse gas (GHG) emissions. This study assesses the full life-cycle environmental impacts of five supply technologies (e.g., solar photovoltaic (PV) panels, wind turbines, hydropower, micro gas turbines, and solid oxide fuel cells (SOFCs)) and determines their optimal allocation for Swiss EV charging stations by 2050. Using Swiss-specific Ecoinvent 3.8 inventories and ReCiPe 2016 endpoint indicators for life cycle assessment (LCA), results rank wind and hydropower as the least impactful, followed by solar PV. Biomethane-based micro gas turbines and SOFCs show the highest burdens across the categories of human health, ecosystem quality, and resource scarcity. A multi-objective Non-dominated Sorting Genetic Algorithm II (NSGA-II; four objectives: cost, human health, ecosystems, resource scarcity) with constraints (Switzerland's 2050 deployment caps and a daily charging demand of 35 GWh) yields 35 Pareto-optimal solutions. Lowest-cost solutions (1.20–1.40 × 106 USD/day) rely heavily on PV and wind but increase environmental impacts by up to 70 %, whereas environmentally superior solutions raise costs to 2.17 × 106 USD/day and strongly favor wind turbines, hydropower, and on-site PV, virtually eliminating micro gas turbines and SOFCs. These results provide policymakers with explicit trade-offs for planning a sustainable Swiss EV charging infrastructure. © 2025 The Author(s)","Charging station; Economic analysis; Electric vehicle (EV); Life-cycle assessment (LCA); Performance evaluation parameter (PEP)","Artificial life; Charging (batteries); Charging stations; Costs; Economic and social effects; Ecosystems; Electric power systems; Electric vehicles; Environmental impact; Greenhouse gases; Life cycle; Life cycle assessment; Multiobjective optimization; Pareto principle; Renewable energy; Solar power generation; Sustainable development; Wind turbines; Charging station; Economics analysis; Electric vehicle; Electric vehicle charging; Evaluation parameters; Life-cycle assessment; Micro-gas; Performance evaluation parameter; Performances evaluation; Solid-oxide fuel cell; Economic analysis","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105024221941"
"Wang Y.; Shan X.; Qiu R.","Wang, Yusheng (57225157307); Shan, Xiangqi (59006055600); Qiu, Rui (59082660800)","57225157307; 59006055600; 59082660800","Lifecycle carbon dioxide emissions and cost assessment for battery electric bus systems","2025","Journal of Cleaner Production","501","","145278","","","7","10.1016/j.jclepro.2025.145278","https://www.scopus.com/pages/publications/105000284887?origin=resultslist","Battery electric buses (BEBs) have emerged as a promising solution for reducing transportation emissions; however, prior research has rarely addressed the combined environmental and economic impacts of BEB fleets and their charging facility. This study presents a comprehensive lifecycle assessment (LCA) framework that quantifies carbon emissions and total costs across the production, operation, and recycling phases of BEB systems, integrating heterogeneous bus fleets with diverse charger types and route-specific constraints. In a case study of a public transit network in Nanjing, China, seven scenarios with different BEB system configurations were evaluated. Results show that the capital cost of BEBs accounts for approximately 66% of the total lifecycle cost, with Scenario #1 costing $232.51 million and Scenario #3 reaching $377.07 million—a 62% increase. Sensitivity analyses further indicate that reducing the power grid carbon emission factor from 0.910 to 0.095 kgCO2e/kWh can lower lifecycle emissions by 81.3%, while a 5% increase in BEB energy consumption leads to a 4% rise in emissions, with only a 0.2% impact on overall costs. These numerical results substantiate the effectiveness of our coupled LCA framework by demonstrating that strategic interventions – such as grid decarbonization and improvements in BEB energy efficiency – can significantly mitigate both environmental impacts and lifecycle expenditures. Our findings provide critical quantitative insights for decision-makers, highlighting the potential for substantial reductions in lifecycle impacts as cleaner energy sources and advanced vehicle technologies become increasingly prevalent. © 2025 Elsevier Ltd","Battery electric bus system; Carbon dioxide emissions; Life cycle assessment; Lifecycle cost","Battery electric bus system; Bus energy; Bus fleets; Bus systems; Carbon dioxide emissions; Cost assessment; Electric bus; Environmental and economic impacts; Life Cycle Assessment (LCA); Lifecycle costs","Article","Final","","Scopus","2-s2.0-105000284887"
"Syré A.M.; Göhlich D.","Syré, Anne Magdalene (57216966142); Göhlich, Dietmar (8877872400)","57216966142; 8877872400","Decarbonization of Long-Haul Heavy-Duty Truck Transport: Technologies, Life Cycle Emissions, and Costs","2025","World Electric Vehicle Journal","16","2","76","","","14","10.3390/wevj16020076","https://www.scopus.com/pages/publications/85218968916?origin=resultslist","Decarbonizing long-haul, heavy-duty transport in Europe focuses on battery-electric trucks with high-power chargers or electric road systems and fuel-cell-electric vehicles with hydrogen refueling stations. We present a comparative life cycle assessment and total cost of ownership analysis of these technologies for 20% of Germany’s heavy-duty, long-haul transport alongside internal combustion engine vehicles. The results show that fuel cell vehicles with on-site hydrogen have the highest life cycle emissions (65 Mt CO2e), followed by internal combustion engine vehicles (55 Mt CO2e). Battery-electric vehicles using electric road systems achieve the lowest emissions (21 Mt CO2e) and the lowest costs (EUR 45 billion). In contrast, fuel cell vehicles with on-site hydrogen have the highest costs (EUR 69 billion). Operational costs dominate total expenses, making them a compelling target for subsidies. The choice between battery and fuel cell technologies depends on the ratio of vehicles to infrastructure, transport performance, and range. Fuel cell trucks are better suited for remote areas due to their longer range, while integrating electric road systems with high-power charging could offer synergies. Recent advancements in battery and fuel cell durability further highlight the potential of both technologies in heavy-duty transport. This study provides insights for policymakers and industry stakeholders in the shift towards sustainable transport. The greenhouse gas emission savings from adopting battery-electric trucks are 54% in our high-power charging scenario and 62% in the electric road system scenario in comparison to the reference scenario with diesel trucks. © 2025 by the authors.","battery-electric vehicles; electric road system; fuel-cell-electric vehicles; high-power charger; hydrogen refueling station; life cycle assessment; total cost of ownership","Antiknock compounds; Automotive batteries; Biofuels; Electric vehicles; Hydrogen fuels; Low emission; Nuclear batteries; Battery-electric vehicles; Electric road system; Fuel cell electric vehicle; Heavy duty; High power; High-power charger; Hydrogen refueling stations; Long haul; Road systems; Total cost of ownership; Truck transportation","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85218968916"
"Horesh N.; Zhou Y.; Quinn J.","Horesh, Noah (57223437013); Zhou, Yan (49962815300); Quinn, Jason (36562288100)","57223437013; 49962815300; 36562288100","Home charging for all: Techno-economic and life cycle assessment of multi-unit dwelling electric vehicle charging hubs","2023","Journal of Cleaner Production","383","","135551","","","20","10.1016/j.jclepro.2022.135551","https://www.scopus.com/pages/publications/85145215285?origin=resultslist","Ubiquitous electric vehicle adoption can drastically reduce greenhouse gas emissions (GHG) but will require equitable home charging infrastructure for all residences. Unlike single-family homes, Multi-Unit Dwellings (MUD) currently lack market share and access to nearby charging infrastructure partly due to expensive capital costs for reluctant residential property-owners. This work evaluates the levelized cost of charging (LCOC) for Battery Electric Vehicles (BEVs) at MUD community charging hubs through a techno-economic analysis (TEA) that leverages real-world charging data and costs. Three different MUD charging types are investigated for a baseline and optimistic case: 1.9-kW Level 1 (L1), 6.6-kW Level 2 (L2), and 50-kW Direct Current Fast Charging (DCFC) stations under three different ownership models: resident, utility, and private company. Results demonstrate L1 and L2 chargers to be less expensive than the gasoline equivalent across the United States. Further, utility and private company ownership models, which avoid initial costs for residential property owners, result in a large LCOC premium for L1 and moderate LCOC premium for L2 relative to the resident ownership model. In contrast, DCFC is shown to be expensive for baseline scenarios but economical for optimistic scenarios especially under private company ownership. This work also performs a cradle to grave (C2G) life cycle assessment (LCA) of an average passenger BEV and gasoline conventional vehicle (CV) using yearly (grid mix & vehicle parameters), hourly (grid mix), and state-level (grid mix) resolution. Results show BEVs to have lower GHG emissions (−86% to −10%) than gasoline CVs in the contiguous U.S. Next, the system boundary of the TEA is extended to the total cost of ownership (TCO) of BEVs. The TCO is then coupled with the C2G GHG emissions to calculate the cost of GHG emissions reduction. Ultimately, the cost of GHG emissions reduction from MUD BEVs relative to gasoline CVs is shown to be negative for every scenario except baseline DCFC, meaning MUD BEV charging infrastructure can be a cost-effective endeavor to reduce GHG emissions. © 2022 Elsevier Ltd","Business model; Charging infrastructure; Electric vehicles; Emissions reduction; Levelized cost of charging; Multi-unit dwelling charging hub","Charging (batteries); Competition; Cost benefit analysis; Cost reduction; Economic analysis; Emission control; Gas emissions; Gasoline; Greenhouse gases; Housing; Life cycle; Sales; Battery-electric vehicles; Business models; Charging infrastructures; Emission reduction; Greenhouse gas emissions; Level-1; Levelized cost of charging; Levelized costs; Multi-unit; Multi-unit dwelling charging hub; Cost effectiveness","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85145215285"
"Gurrì S.; Cappelli F.; Chiara B.D.","Gurrì, Simona (58245583800); Cappelli, Flavio (59526690900); Chiara, Bruno Dalla (59156354900)","58245583800; 59526690900; 59156354900","Matching demand and supply in motorised mobility: A data-driven differentiation of the driving patterns for urban contexts","2025","Transportation Engineering","21","","100355","","","0","10.1016/j.treng.2025.100355","https://www.scopus.com/pages/publications/105008794563?origin=resultslist","This paper deals with future automobiles and their actual compliance with both local and global emissions: the European Parliament's deliberation on the 100 % reduction of locally measured CO2 emissions (February 2023), on newly manufactured vehicles by 2035 clearly and plausibly expresses a concept - oriented towards the transport supply - that needs to be completed. The current scenario for climate change requires actions for both mitigation and adaptation. The transportation sector is currently one of the sectors where mitigation actions can be applied. This is the scope behind the program Fit for 55 led by the European Parliament, which would like the reach of net zero CO2 emissions by 2035. Additionally, many cities have applied for the net zero emission challenge by 2030. All this creates an intricated scenario for the private transportation sector, which should be affordable and flexible for all the transportation needs. A way to reach the goals defined above is the spreading of electrified transportation, including: BEVs (Battery Electric Vehicles), which provide zero tailpipe emissions during use, PHEVs (Plug-in Hybrid Electric Vehicles), which can do the same just when and where needed, without compromising the freedom of movement that drivers are accustomed to. One of the solutions for reaching these goals is the adoption of electrified vehicles. Nonetheless, many limits hinder a massive spread of BEVs, like energy and resources availability, queuing phenomena at public accessible charging stations, fire-load limitations, serious depreciation on second hand market, besides actual environmental sustainability: when looking at the carbon emissions footprint on the entire lifecycle of the energy source (namely, Well To Wheel) and of the vehicle (LCA), the neutrality with respect to GHGs is challenged.Based on these assumptions, the scope of the paper demonstrates systematically that it is possible to consider differentiated powertrain solutions per driving scenario, namely for urban contexts, thereby enabling the proper exploitation of each technological solution. © 2025","Driving scenarios; Electrification; Emissions; Internal combustion engines; Urban and non-urban","Automobile electronic equipment; Charging (batteries); Electric utilities; Life cycle; Plug-in hybrid vehicles; Powertrains; Sustainable development; Zero-carbon; Battery-electric vehicles; CO 2 emission; Combustion engines; Driving scenario; Emission; European Parliament; Internal combustion; Transportation sector; Urban and non-urban; Urban context; Internal combustion engines","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105008794563"
